##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
1104	52-53	0.12531494513266495
1104	54-55	0.12828433704024889
1104	56-57	0.13588422128509592
1104	58-59	0.1377663099577191
1104	60-61	0.15241969494324792
1104	62-63	0.13569862617141126
1104	64-65	0.14418362296885334
1104	66-67	0.1727802349425005
1104	68-69	0.15607065882942806
1104	70-71	0.2482992940821518
1104	72-73	0.23242073202577274
1104	74-75	0.1671703854917581
1104	76-77	0.2279167915738043
1104	78-79	0.3043223953220462
1104	80-81	0.3196512767699531
1104	82-83	0.24585504386409696
1104	84-85	0.2988073102087512
1104	86-87	0.23450636688330917
1104	88-89	0.38867087532118205
1104	90-91	0.4187990811582054
1104	92-93	0.4376844095064456
1104	94-95	0.4172564694273504
1104	96-97	0.44733925789161333
1104	98-99	0.5391090113220613
1104	100-101	0.37510329438531187
1105	1	-0.0562408858494976
1105	2	-0.06994756378735545
1105	3	-0.20802961638242579
1105	4	0.055321168964773904
1105	5	0.21353846429911272
1105	6	0.17659496171372524
1105	7	0.0437007421371689
1105	8	0.0879071534947613
1105	9	0.07055561144114364
1105	10-11	0.046588243098952375
1105	12-13	0.05772455769217544
1105	14-15	0.10639424735847314
1105	16-17	0.1308119211865204
1105	18-19	0.07315251063690908
1105	20-21	0.1320586487972193
1105	22-23	0.04947131279774908
1105	24-25	0.0017422945303806614
1105	26-27	0.04862058673319325
1105	28-29	0.09230366058105233
1105	30-31	0.08988182904424491
1105	32-33	0.09463571823220462
1105	34-35	0.14115162737886067
1105	36-37	0.09767499228159693
1105	38-39	0.1523930919770038
1105	40-41	0.08510993768850739
1105	42-43	0.07597313512401627
1105	44-45	0.20454659887607107
1105	46-47	0.09476477628608393
1105	48-49	0.09196057498137833
1105	50-51	0.0941771380563381
1105	52-53	0.11485878670843874
1105	54-55	0.038408644390621305
1105	56-57	0.13147110271014384
1105	58-59	0.06818407937907978
1105	60-61	0.060274976253701595
1105	62-63	0.08152655545249843
1105	64-65	0.11150262944008915
1105	66-67	0.02747167324752553
1105	68-69	0.03548538604830043
1105	70-71	0.10195238653380301
1105	72-73	0.12528364128235836
1105	74-75	0.09930578107595522
1105	76-77	0.19130946323016929
1105	78-79	0.20707657214569508
1105	80-81	0.2665993088658354
1105	82-83	0.13834228745301402
1105	84-85	0.18604621107940744
1105	86-87	0.037185967515696916
1105	88-89	0.26191965688832397
1105	90-91	0.32723485311640843
1105	92-93	0.288872410612548
1105	94-95	0.3910698552696985
1105	96-97	0.2897535258223769
1105	98-99	0.5826938529325432
1105	100-101	0.4047421394968609
1106	1	-0.1714106170560612
1106	2	-0.09847704717518369
1106	3	-0.09538113708541829
1106	4	0.03477626596987449
1106	5	0.17122103303398006
1106	6	0.09158742911063911
1106	7	0.07335520548698327
1106	8	-0.02300142437977115
1106	9	-0.06498858085112857
1106	10-11	0.01169902717187199
1106	12-13	0.042271052323044955
1106	14-15	0.011911876479835826
1106	16-17	0.01846271845125358
1106	18-19	0.004223912279790909
1106	20-21	0.07156127522889477
1106	22-23	0.058208731090708454
1106	24-25	-0.03275471492164428
1106	26-27	0.01020758465557492
1106	28-29	0.005447614719294336
1106	30-31	-0.02245438462359317
1106	32-33	0.05402450129598435
1106	34-35	-0.033137210619166524
1106	36-37	0.03660472691812089
1106	38-39	-0.0132129768532252
1106	40-41	-0.006977745486388187
1106	42-43	-0.044128692828493854
1106	44-45	0.04190066459145925
1106	46-47	0.013898380144027556
1106	48-49	-0.013903967842516352
1106	50-51	0.02627721047831244
1106	52-53	0.08675218722728317
1106	54-55	-0.016759885063201807
1106	56-57	0.0515616206698013
1106	58-59	0.0022136619273496194
1106	60-61	0.08018605499891862
1106	62-63	0.0804139837459843
1106	64-65	0.024481632982194412
