##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	26-27	-0.062240962990379955
1105	28-29	-0.1260384665439247
1105	30-31	-0.02127148141315871
1105	32-33	0.22426183957461632
1105	34-35	0.08114152085427406
1105	36-37	0.034757763896351435
1105	38-39	-0.20829709624994308
1105	40-41	-0.2611255424944403
1105	42-43	-0.11985766554861499
1105	44-45	-0.1032945808149961
1105	46-47	-0.04194000102685891
1105	48-49	0.10999933961345221
1105	50-51	0.042790950565745334
1105	52-53	-0.03732717485033277
1105	54-55	0.21031297422557316
1105	56-57	-0.1364925820630134
1105	58-59	-0.07831791313999759
1105	60-61	-0.08555190457695261
1105	62-63	-0.08627480916894115
1105	64-65	-0.009651332053167039
1105	66-67	-0.07121167080853041
1105	68-69	0.0633230856328737
1105	70-71	-0.006051070251544388
1105	72-73	-0.074459260001845
1105	74-75	0.012803385622085273
1105	76-77	0.06572063057112132
1105	78-79	0.1193515905435305
1105	80-81	0.016702148492498736
1105	82-83	-0.006877120341911791
1105	84-85	-0.023305599745214067
1105	86-87	0.15085656841480954
1105	88-89	-0.08544456206053042
1105	90-91	-0.07809472401233819
1105	92-93	0.06197306860997287
1105	94-95	-0.0954396448888275
1105	96-97	0.015200153437078257
1105	98-99	-0.02821136855376949
1105	100-101	-0.004809565883093114
1106	1	-0.3671021437209099
1106	2	-0.6208933701629391
1106	3	-0.7135438987236142
1106	4	-0.8352755532123055
1106	5	-0.6814355514718997
1106	6	-0.8474106500199596
1106	7	-0.874812879901242
1106	8	-0.9690206174892637
1106	9	-0.9177332659249515
1106	10-11	-0.9978168714786904
1106	12-13	-0.5696421063730526
1106	14-15	-0.519263118117621
1106	16-17	-0.23132693120055592
1106	18-19	-0.3230162274470487
1106	20-21	-0.2753445089437534
1106	22-23	-0.18204492204196043
1106	24-25	-0.10563546650421785
1106	26-27	-0.21236432745030953
1106	28-29	-0.19973964956283652
1106	30-31	-0.26748004655205904
1106	32-33	-0.06410897443439723
1106	34-35	-0.278391905507533
1106	36-37	-0.2416938911114812
1106	38-39	-0.46852044273637716
1106	40-41	-0.37167248572334444
1106	42-43	-0.23157864094943648
1106	44-45	-0.17684976882804904
1106	46-47	-0.17933703626694353
1106	48-49	-0.05358824925869499
1106	50-51	0.06208969510373663
1106	52-53	-0.06422927593230554
1106	54-55	-0.013117096331463074
1106	56-57	-0.14612973088033954
1106	58-59	-0.12397385154098117
1106	60-61	-0.07471632948546159
1106	62-63	-0.13488993169597308
1106	64-65	-0.10514046125975085
1106	66-67	-0.13135158101711397
1106	68-69	-0.14218867200759888
1106	70-71	-0.1233550742002194
1106	72-73	-0.08715390856942662
1106	74-75	-0.08177730088075208
1106	76-77	-0.17994535059663264
1106	78-79	-0.10374604436906054
1106	80-81	-0.048581221213737535
1106	82-83	-0.27520025919334756
1106	84-85	-0.13853330654542617
1106	86-87	-0.26893240253635753
1106	88-89	-0.3584986255160345
1106	90-91	-0.13310305496786157
1106	92-93	-0.25079733895739764
1106	94-95	-0.2870756464441371
1106	96-97	-0.20900567069178777
1106	98-99	-0.14495261851601526
1106	100-101	-0.07241998510049541
1107	1	-0.6639909363210883
1107	2	-0.43190331991646147
1107	3	-1.2422878251642473
1107	4	-1.1168224416196821
1107	5	-0.8757596607097327
1107	6	-1.086062356050796
1107	7	-0.8845721276494629
1107	8	-0.9799870010527343
1107	9	-0.817548903177304
1107	10-11	-0.9130124986700352
1107	12-13	-1.0109613966211626
1107	14-15	-0.9606583744056678
1107	16-17	-0.470950401594294
1107	18-19	-0.26451251497280026
1107	20-21	-0.14722041197143199
